gene,disease_name,inheritance,phenotype_mim,phenotype_class,pigmentation_phenotype,source,citation,citation_source
UBASH3A,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.","Yamaguchi gene list, OpenTargets gene list",PMC9854651,pmcid
UBE2E2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
USP9X,"Intellectual developmental disorder, X-linked 99, syndromic, female-restricted ",XLD,300968,Hypopigmentation,Skin pigmentary abnormalities along the lines of Blaschko,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
UVSSA,UV-sensitive syndrome 3,AR,614640,Hyperpigmentation,"Cutaneous photosensitivity and slight dyspigmentation, without an increased risk of skin tumors","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
VEGFA,POEMS syndrome,Acquired,,Hyperpigmentation,Hyperpigmentation of skin,Yamaguchi gene list,PMC9854651,pmcid
WIF1,Melasma/chloasma,Acquired,,Hyperpigmentation,Brown or blue-gray patches or freckle-like spots,Yamaguchi gene list,PMC9854651,pmcid
WRAP53,"Dyskeratosis congenita, autosomal recessive 3",AR,613988,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
WRN,Werner syndrome,AR,277700,Mixed,"Adult onset segmental progeroid syndrome. Premature graying, skin hyper- or hypopigmentation, telangiectasias","Yamaguchi gene list, OpenTargets gene list, OMIM",PMC9854651,pmcid
XPA,"Xeroderma pigmentosum, group A",AR,278700,Mixed,Pigmented or depigmented macules and patches,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
XPC,"Xeroderma pigmentosum, group C",AR,278720,Mixed,"freckling on sun-exposed areas with atrophy, telangiectasia, hypopigmentation, and actinic keratoses. He had multiple skin cancers multiple skin cancers including squamous cell carcinomas, basal cell carcinomas, and melanomas","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ZC3H7B,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
ZMIZ1,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
ZMPSTE24,Mandibuloacral dysplasia with type B lipodystrophy,AR,608612,Hyperpigmentation,Mottled hyperpigmentation,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ZNF354A,Vogt-Koyanagi-Harada disease,Acquired,,Hypopigmentation,Cutaneous and perilimbal vitiligo (also known as Sugiura's sign); whitening (loss of pigmentation) of the hair and eyelashes (poliosis),OpenTargets gene list,PMC9854651,pmcid
