gene_a,gene_b,source,target,merged_sign,sign_conflict,direction_conflict,supporting_layers,n_supporting_layers,layer_evidence_type,tier,citation
RACK1,SRC,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RACK1,STAT1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RACK1,TNF,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RAF1,RHOA,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RAF1,SPRED1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RAF1,SRC,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RAF1,STAT3,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RAP1A,RHOA,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RAP1A,SRC,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RAP1A,TSC2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RDX,RHOA,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RHOA,SRC,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RHOA,TNF,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RIPK1,TAB1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RIPK1,TNF,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RIPK1,TRADD,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RIPK1,TRAF2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RPS6KA1,TSC1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
RPS6KA1,TSC2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SGPL1,SPTLC1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SHC1,SOS1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SHC1,SRC,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SHC1,STAT3,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SLC45A2,TPCN2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SMPD1,SMPD2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SMPD1,SPTLC1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SMPD1,SPTLC2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SMPD2,SPTLC1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SMPD2,SPTLC2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SMPD2,TNF,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SOS1,SRC,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SPTLC1,SPTLC2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SRC,STAT1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SRC,STAT3,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SRC,TNF,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SRC,TNFRSF1A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SRC,TNFSF11,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SRC,TP53,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
SRC,TRAF6,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT1,STAT3,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT1,STAT4,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT1,TNF,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT1,TP53,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT1,TRAF6,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT3,STAT4,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT3,TNF,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT3,TNFRSF1A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT3,TP53,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT3,TRAF6,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
STAT4,TNF,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TAB1,TNF,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TAB1,TNFRSF1A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TAB1,TRADD,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TAB1,TRAF2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TAB1,TRAF6,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TCF7,TCF7L1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TCF7,TCF7L2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TCF7,TERT,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TCF7,WNT3A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TCF7L1,TCF7L2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TCF7L1,TERT,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TCF7L2,TERT,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TCF7L2,WNT3A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TFAP2A,TP53,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TNF,TNFRSF11A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TNF,TNFSF11,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TNF,TP53,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TNF,TRADD,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TNF,TRAF2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TNF,TRAF6,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TNFRSF11A,TRAF2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TNFRSF1A,TP53,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TNFRSF1A,TRADD,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TNFRSF1A,TRAF2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TP53,WRAP53,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TP53,XPA,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TP63,WNT10B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TRADD,TRAF2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TRADD,TRAF6,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
TRAF2,TRAF6,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT1,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT10A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT10B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT11,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT16,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT2B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT3,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT3A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT4,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT5A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT5B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT6,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT7A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT7B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT8A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT8B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT9A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WIF1,WNT9B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT1,WNT10B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT1,WNT16,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT1,WNT3,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT1,WNT3A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT1,WNT4,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT1,WNT5A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT1,WNT6,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT1,WNT8A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT1,WNT9A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT1,WNT9B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT10B,WNT2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT10B,WNT3,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT10B,WNT3A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT10B,WNT7A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT10B,WNT7B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT10B,WNT8A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT11,WNT16,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT11,WNT2B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT11,WNT5A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT11,WNT9A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT16,WNT2,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT16,WNT3A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT16,WNT4,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT16,WNT5A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT16,WNT5B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT16,WNT7A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT16,WNT8A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT2,WNT3,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT2,WNT5A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT2,WNT8B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT2B,WNT5A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT2B,WNT8A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT3,WNT3A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT3,WNT8B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT3A,WNT4,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT3A,WNT7B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT3A,WNT8B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT3A,WNT9A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT3A,WNT9B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT4,WNT5A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT4,WNT7B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT5A,WNT5B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT5A,WNT6,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT5A,WNT7A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT5A,WNT9A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT5A,WNT9B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT6,WNT9A,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
WNT7B,WNT8B,,,,False,False,STRING_ours,1,STRING_ours:association_unsigned_undirected,T3_STRING_association,STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)
ABL1,MLH1,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,CDK4,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,MDM2,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,TP63,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,NRP1,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,CDK6,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,CDK2,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,TP53,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,CCNA2,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,EGFR,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,NTRK2,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,ATM,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
ABL1,TERT,,,,False,False,DArcy_STRING,1,DArcy_STRING:association_unsigned_undirected,T3_STRING_association,PMC9854651
